name;category;calories;proteins;fats;carbohydrates
Свёкла;Овощи;43.0;1.5;0.1;8.8
Свёкла отварной;Овощи;40.9;1.5;0.09;8.36
Свёкла запечённый;Овощи;45.1;1.53;0.11;8.8
Свёкла тушёный;Овощи;43.0;1.47;0.11;8.45
Свёкла домашний;Овощи;46.4;1.5;0.11;8.98
Свёкла лёгкий;Овощи;35.3;1.5;0.07;8.36
Свёкла классический;Овощи;43.0;1.5;0.1;8.8
Свёкла с маслом;Овощи;53.8;1.47;0.16;8.62
Свёкла без масла;Овощи;36.5;1.5;0.07;8.62
Свёкла порционный;Овощи;43.0;1.5;0.1;8.8
Капуста белокочанная;Овощи;28.0;1.8;0.1;4.7
Капуста белокочанная отварной;Овощи;26.6;1.8;0.09;4.46
Капуста белокочанная запечённый;Овощи;29.4;1.84;0.11;4.7
Капуста белокочанная тушёный;Овощи;28.0;1.76;0.11;4.51
Капуста белокочанная домашний;Овощи;30.2;1.8;0.11;4.79
Капуста белокочанная лёгкий;Овощи;23.0;1.8;0.07;4.46
Капуста белокочанная классический;Овощи;28.0;1.8;0.1;4.7
Капуста белокочанная с маслом;Овощи;35.0;1.76;0.16;4.61
Капуста белокочанная без масла;Овощи;23.8;1.8;0.07;4.61
Капуста белокочанная порционный;Овощи;28.0;1.8;0.1;4.7
Капуста цветная;Овощи;30.0;2.5;0.3;4.2
Капуста цветная отварной;Овощи;28.5;2.5;0.27;3.99
Капуста цветная запечённый;Овощи;31.5;2.55;0.32;4.2
Капуста цветная тушёный;Овощи;30.0;2.45;0.32;4.03
Капуста цветная домашний;Овощи;32.4;2.5;0.34;4.28
Капуста цветная лёгкий;Овощи;24.6;2.5;0.21;3.99
Капуста цветная классический;Овощи;30.0;2.5;0.3;4.2
Капуста цветная с маслом;Овощи;37.5;2.45;0.48;4.12
Капуста цветная без масла;Овощи;25.5;2.5;0.2;4.12
Капуста цветная порционный;Овощи;30.0;2.5;0.3;4.2
Брокколи;Овощи;34.0;2.8;0.4;6.6
Брокколи отварной;Овощи;32.3;2.8;0.36;6.27
Брокколи запечённый;Овощи;35.7;2.86;0.42;6.6
Брокколи тушёный;Овощи;34.0;2.74;0.42;6.34
Брокколи домашний;Овощи;36.7;2.8;0.45;6.73
Брокколи лёгкий;Овощи;27.9;2.8;0.28;6.27
Брокколи классический;Овощи;34.0;2.8;0.4;6.6
Брокколи с маслом;Овощи;42.5;2.74;0.64;6.47
Брокколи без масла;Овощи;28.9;2.8;0.26;6.47
Брокколи порционный;Овощи;34.0;2.8;0.4;6.6
Огурец;Овощи;15.0;0.8;0.1;2.8
Огурец отварной;Овощи;14.2;0.8;0.09;2.66
Огурец запечённый;Овощи;15.8;0.82;0.11;2.8
Огурец тушёный;Овощи;15.0;0.78;0.11;2.69
Огурец домашний;Овощи;16.2;0.8;0.11;2.86
Огурец лёгкий;Овощи;12.3;0.8;0.07;2.66
Огурец классический;Овощи;15.0;0.8;0.1;2.8
Огурец с маслом;Овощи;18.8;0.78;0.16;2.74
Огурец без масла;Овощи;12.8;0.8;0.07;2.74
Огурец порционный;Овощи;15.0;0.8;0.1;2.8
Помидор;Овощи;20.0;0.9;0.2;3.9
Помидор отварной;Овощи;19.0;0.9;0.18;3.7
Помидор запечённый;Овощи;21.0;0.92;0.21;3.9
Помидор тушёный;Овощи;20.0;0.88;0.21;3.74
Помидор домашний;Овощи;21.6;0.9;0.22;3.98
Помидор лёгкий;Овощи;16.4;0.9;0.14;3.7
Помидор классический;Овощи;20.0;0.9;0.2;3.9
Помидор с маслом;Овощи;25.0;0.88;0.32;3.82
Помидор без масла;Овощи;17.0;0.9;0.13;3.82
Помидор порционный;Овощи;20.0;0.9;0.2;3.9
Перец болгарский;Овощи;27.0;1.3;0.0;5.3
Перец болгарский отварной;Овощи;25.6;1.3;0.0;5.03
Перец болгарский запечённый;Овощи;28.4;1.33;0.0;5.3
Перец болгарский тушёный;Овощи;27.0;1.27;0.0;5.09
Перец болгарский домашний;Овощи;29.2;1.3;0.0;5.41
Перец болгарский лёгкий;Овощи;22.1;1.3;0.0;5.03
Перец болгарский классический;Овощи;27.0;1.3;0.0;5.3
Перец болгарский с маслом;Овощи;33.8;1.27;0.0;5.19
Перец болгарский без масла;Овощи;22.9;1.3;0.0;5.19
Перец болгарский порционный;Овощи;27.0;1.3;0.0;5.3
Кабачок;Овощи;24.0;0.6;0.3;4.6
Кабачок отварной;Овощи;22.8;0.6;0.27;4.37
Кабачок запечённый;Овощи;25.2;0.61;0.32;4.6
Кабачок тушёный;Овощи;24.0;0.59;0.32;4.42
Кабачок домашний;Овощи;25.9;0.6;0.34;4.69
Кабачок лёгкий;Овощи;19.7;0.6;0.21;4.37
Кабачок классический;Овощи;24.0;0.6;0.3;4.6
Кабачок с маслом;Овощи;30.0;0.59;0.48;4.51
Кабачок без масла;Овощи;20.4;0.6;0.2;4.51
Кабачок порционный;Овощи;24.0;0.6;0.3;4.6
Баклажан;Овощи;24.0;1.2;0.1;4.5
Баклажан отварной;Овощи;22.8;1.2;0.09;4.27
Баклажан запечённый;Овощи;25.2;1.22;0.11;4.5
Баклажан тушёный;Овощи;24.0;1.18;0.11;4.32
Баклажан домашний;Овощи;25.9;1.2;0.11;4.59
Баклажан лёгкий;Овощи;19.7;1.2;0.07;4.27
Баклажан классический;Овощи;24.0;1.2;0.1;4.5
Баклажан с маслом;Овощи;30.0;1.18;0.16;4.41
Баклажан без масла;Овощи;20.4;1.2;0.07;4.41
Баклажан порционный;Овощи;24.0;1.2;0.1;4.5
Лук репчатый;Овощи;41.0;1.4;0.0;10.4
Лук репчатый отварной;Овощи;38.9;1.4;0.0;9.88
Лук репчатый запечённый;Овощи;43.1;1.43;0.0;10.4
Лук репчатый тушёный;Овощи;41.0;1.37;0.0;9.98
Лук репчатый домашний;Овощи;44.3;1.4;0.0;10.61
Лук репчатый лёгкий;Овощи;33.6;1.4;0.0;9.88
Лук репчатый классический;Овощи;41.0;1.4;0.0;10.4
Лук репчатый с маслом;Овощи;51.2;1.37;0.0;10.19
Лук репчатый без масла;Овощи;34.9;1.4;0.0;10.19
Лук репчатый порционный;Овощи;41.0;1.4;0.0;10.4
Чеснок;Овощи;143.0;6.5;0.5;29.9
Чеснок отварной;Овощи;135.8;6.5;0.45;28.4
Чеснок запечённый;Овощи;150.2;6.63;0.53;29.9
Чеснок тушёный;Овощи;143.0;6.37;0.53;28.7
Чеснок домашний;Овощи;154.4;6.5;0.56;30.5
Чеснок лёгкий;Овощи;117.3;6.5;0.35;28.4
Чеснок классический;Овощи;143.0;6.5;0.5;29.9
Чеснок с маслом;Овощи;178.8;6.37;0.8;29.3
Чеснок без масла;Овощи;121.5;6.5;0.33;29.3
Чеснок порционный;Овощи;143.0;6.5;0.5;29.9
Яблоко;Фрукты;47.0;0.4;0.4;9.8
Яблоко отварной;Фрукты;44.6;0.4;0.36;9.31
Яблоко запечённый;Фрукты;49.4;0.41;0.42;9.8
Яблоко тушёный;Фрукты;47.0;0.39;0.42;9.41
Яблоко домашний;Фрукты;50.8;0.4;0.45;10.0
Яблоко лёгкий;Фрукты;38.5;0.4;0.28;9.31
Яблоко классический;Фрукты;47.0;0.4;0.4;9.8
Яблоко с маслом;Фрукты;58.8;0.39;0.64;9.6
Яблоко без масла;Фрукты;39.9;0.4;0.26;9.6
Яблоко порционный;Фрукты;47.0;0.4;0.4;9.8
Банан;Фрукты;96.0;1.5;0.5;21.0
Банан отварной;Фрукты;91.2;1.5;0.45;19.95
Банан запечённый;Фрукты;100.8;1.53;0.53;21.0
Банан тушёный;Фрукты;96.0;1.47;0.53;20.16
Банан домашний;Фрукты;103.7;1.5;0.56;21.42
Банан лёгкий;Фрукты;78.7;1.5;0.35;19.95
Банан классический;Фрукты;96.0;1.5;0.5;21.0
Банан с маслом;Фрукты;120.0;1.47;0.8;20.58
Банан без масла;Фрукты;81.6;1.5;0.33;20.58
Банан порционный;Фрукты;96.0;1.5;0.5;21.0
Апельсин;Фрукты;43.0;0.9;0.2;8.1
Апельсин отварной;Фрукты;40.9;0.9;0.18;7.69
Апельсин запечённый;Фрукты;45.1;0.92;0.21;8.1
Апельсин тушёный;Фрукты;43.0;0.88;0.21;7.78
Апельсин домашний;Фрукты;46.4;0.9;0.22;8.26
Апельсин лёгкий;Фрукты;35.3;0.9;0.14;7.69
Апельсин классический;Фрукты;43.0;0.9;0.2;8.1
Апельсин с маслом;Фрукты;53.8;0.88;0.32;7.94
Апельсин без масла;Фрукты;36.5;0.9;0.13;7.94
Апельсин порционный;Фрукты;43.0;0.9;0.2;8.1
Мандарин;Фрукты;38.0;0.8;0.2;7.5
Мандарин отварной;Фрукты;36.1;0.8;0.18;7.12
Мандарин запечённый;Фрукты;39.9;0.82;0.21;7.5
Мандарин тушёный;Фрукты;38.0;0.78;0.21;7.2
Мандарин домашний;Фрукты;41.0;0.8;0.22;7.65
Мандарин лёгкий;Фрукты;31.2;0.8;0.14;7.12
Мандарин классический;Фрукты;38.0;0.8;0.2;7.5
Мандарин с маслом;Фрукты;47.5;0.78;0.32;7.35
Мандарин без масла;Фрукты;32.3;0.8;0.13;7.35
Мандарин порционный;Фрукты;38.0;0.8;0.2;7.5
Груша;Фрукты;47.0;0.4;0.3;10.3
Груша отварной;Фрукты;44.6;0.4;0.27;9.79
Груша запечённый;Фрукты;49.4;0.41;0.32;10.3
Груша тушёный;Фрукты;47.0;0.39;0.32;9.89
Груша домашний;Фрукты;50.8;0.4;0.34;10.51
Груша лёгкий;Фрукты;38.5;0.4;0.21;9.79
Груша классический;Фрукты;47.0;0.4;0.3;10.3
Груша с маслом;Фрукты;58.8;0.39;0.48;10.09
Груша без масла;Фрукты;39.9;0.4;0.2;10.09
Груша порционный;Фрукты;47.0;0.4;0.3;10.3
Виноград;Фрукты;72.0;0.6;0.6;15.4
Виноград отварной;Фрукты;68.4;0.6;0.54;14.63
Виноград запечённый;Фрукты;75.6;0.61;0.63;15.4
Виноград тушёный;Фрукты;72.0;0.59;0.63;14.78
Виноград домашний;Фрукты;77.8;0.6;0.67;15.71
Виноград лёгкий;Фрукты;59.0;0.6;0.42;14.63
Виноград классический;Фрукты;72.0;0.6;0.6;15.4
Виноград с маслом;Фрукты;90.0;0.59;0.96;15.09
Виноград без масла;Фрукты;61.2;0.6;0.39;15.09
Виноград порционный;Фрукты;72.0;0.6;0.6;15.4
Киви;Фрукты;48.0;1.0;0.6;10.3
Киви отварной;Фрукты;45.6;1.0;0.54;9.79
Киви запечённый;Фрукты;50.4;1.02;0.63;10.3
Киви тушёный;Фрукты;48.0;0.98;0.63;9.89
Киви домашний;Фрукты;51.8;1.0;0.67;10.51
Киви лёгкий;Фрукты;39.4;1.0;0.42;9.79
Киви классический;Фрукты;48.0;1.0;0.6;10.3
Киви с маслом;Фрукты;60.0;0.98;0.96;10.09
Киви без масла;Фрукты;40.8;1.0;0.39;10.09
Киви порционный;Фрукты;48.0;1.0;0.6;10.3
Клубника;Ягоды;32.0;0.7;0.3;7.7
Клубника отварной;Ягоды;30.4;0.7;0.27;7.31
Клубника запечённый;Ягоды;33.6;0.71;0.32;7.7
Клубника тушёный;Ягоды;32.0;0.69;0.32;7.39
Клубника домашний;Ягоды;34.6;0.7;0.34;7.85
Клубника лёгкий;Ягоды;26.2;0.7;0.21;7.31
Клубника классический;Ягоды;32.0;0.7;0.3;7.7
Клубника с маслом;Ягоды;40.0;0.69;0.48;7.55
Клубника без масла;Ягоды;27.2;0.7;0.2;7.55
Клубника порционный;Ягоды;32.0;0.7;0.3;7.7
Малина;Ягоды;46.0;0.8;0.5;8.3
Малина отварной;Ягоды;43.7;0.8;0.45;7.89
Малина запечённый;Ягоды;48.3;0.82;0.53;8.3
Малина тушёный;Ягоды;46.0;0.78;0.53;7.97
Малина домашний;Ягоды;49.7;0.8;0.56;8.47
Малина лёгкий;Ягоды;37.7;0.8;0.35;7.89
Малина классический;Ягоды;46.0;0.8;0.5;8.3
Малина с маслом;Ягоды;57.5;0.78;0.8;8.13
Малина без масла;Ягоды;39.1;0.8;0.33;8.13
Малина порционный;Ягоды;46.0;0.8;0.5;8.3
Черника;Ягоды;44.0;1.1;0.4;7.6
Черника отварной;Ягоды;41.8;1.1;0.36;7.22
Черника запечённый;Ягоды;46.2;1.12;0.42;7.6
Черника тушёный;Ягоды;44.0;1.08;0.42;7.3
Черника домашний;Ягоды;47.5;1.1;0.45;7.75
Черника лёгкий;Ягоды;36.1;1.1;0.28;7.22
Черника классический;Ягоды;44.0;1.1;0.4;7.6
Черника с маслом;Ягоды;55.0;1.08;0.64;7.45
Черника без масла;Ягоды;37.4;1.1;0.26;7.45
Черника порционный;Ягоды;44.0;1.1;0.4;7.6
Творог 0%;Молочные продукты;71.0;16.5;0.0;1.3
Творог 0% отварной;Молочные продукты;67.5;16.5;0.0;1.23
Творог 0% запечённый;Молочные продукты;74.5;16.83;0.0;1.3
Творог 0% тушёный;Молочные продукты;71.0;16.17;0.0;1.25
Творог 0% домашний;Молочные продукты;76.7;16.5;0.0;1.33
Творог 0% лёгкий;Молочные продукты;58.2;16.5;0.0;1.23
Творог 0% классический;Молочные продукты;71.0;16.5;0.0;1.3
Творог 0% с маслом;Молочные продукты;88.8;16.17;0.0;1.27
Творог 0% без масла;Молочные продукты;60.4;16.5;0.0;1.27
Творог 0% порционный;Молочные продукты;71.0;16.5;0.0;1.3
Творог 5%;Молочные продукты;121.0;17.2;5.0;1.8
Творог 5% отварной;Молочные продукты;114.9;17.2;4.5;1.71
Творог 5% запечённый;Молочные продукты;127.1;17.54;5.25;1.8
Творог 5% тушёный;Молочные продукты;121.0;16.86;5.25;1.73
Творог 5% домашний;Молочные продукты;130.7;17.2;5.6;1.84
Творог 5% лёгкий;Молочные продукты;99.2;17.2;3.5;1.71
Творог 5% классический;Молочные продукты;121.0;17.2;5.0;1.8
Творог 5% с маслом;Молочные продукты;151.2;16.86;8.0;1.76
Творог 5% без масла;Молочные продукты;102.8;17.2;3.25;1.76
Творог 5% порционный;Молочные продукты;121.0;17.2;5.0;1.8
Творог 9%;Молочные продукты;159.0;16.7;9.0;2.0
Творог 9% отварной;Молочные продукты;151.0;16.7;8.1;1.9
Творог 9% запечённый;Молочные продукты;167.0;17.03;9.45;2.0
Творог 9% тушёный;Молочные продукты;159.0;16.37;9.45;1.92
Творог 9% домашний;Молочные продукты;171.7;16.7;10.08;2.04
Творог 9% лёгкий;Молочные продукты;130.4;16.7;6.3;1.9
Творог 9% классический;Молочные продукты;159.0;16.7;9.0;2.0
Творог 9% с маслом;Молочные продукты;198.8;16.37;14.4;1.96
Творог 9% без масла;Молочные продукты;135.2;16.7;5.85;1.96
Творог 9% порционный;Молочные продукты;159.0;16.7;9.0;2.0
Молоко 2.5%;Молочные продукты;52.0;2.8;2.5;4.7
Молоко 2.5% отварной;Молочные продукты;49.4;2.8;2.25;4.46
Молоко 2.5% запечённый;Молочные продукты;54.6;2.86;2.62;4.7
Молоко 2.5% тушёный;Молочные продукты;52.0;2.74;2.62;4.51
Молоко 2.5% домашний;Молочные продукты;56.2;2.8;2.8;4.79
Молоко 2.5% лёгкий;Молочные продукты;42.6;2.8;1.75;4.46
Молоко 2.5% классический;Молочные продукты;52.0;2.8;2.5;4.7
Молоко 2.5% с маслом;Молочные продукты;65.0;2.74;4.0;4.61
Молоко 2.5% без масла;Молочные продукты;44.2;2.8;1.62;4.61
Молоко 2.5% порционный;Молочные продукты;52.0;2.8;2.5;4.7
Молоко 3.2%;Молочные продукты;60.0;2.9;3.2;4.7
Молоко 3.2% отварной;Молочные продукты;57.0;2.9;2.88;4.46
Молоко 3.2% запечённый;Молочные продукты;63.0;2.96;3.36;4.7
Молоко 3.2% тушёный;Молочные продукты;60.0;2.84;3.36;4.51
Молоко 3.2% домашний;Молочные продукты;64.8;2.9;3.58;4.79
Молоко 3.2% лёгкий;Молочные продукты;49.2;2.9;2.24;4.46
Молоко 3.2% классический;Молочные продукты;60.0;2.9;3.2;4.7
Молоко 3.2% с маслом;Молочные продукты;75.0;2.84;5.12;4.61
Молоко 3.2% без масла;Молочные продукты;51.0;2.9;2.08;4.61
Молоко 3.2% порционный;Молочные продукты;60.0;2.9;3.2;4.7
Кефир 1%;Молочные продукты;40.0;3.0;1.0;4.0
Кефир 1% отварной;Молочные продукты;38.0;3.0;0.9;3.8
Кефир 1% запечённый;Молочные продукты;42.0;3.06;1.05;4.0
Кефир 1% тушёный;Молочные продукты;40.0;2.94;1.05;3.84
Кефир 1% домашний;Молочные продукты;43.2;3.0;1.12;4.08
Кефир 1% лёгкий;Молочные продукты;32.8;3.0;0.7;3.8
Кефир 1% классический;Молочные продукты;40.0;3.0;1.0;4.0
